asset_id,file_path,file_name,file_type,category,scene,description,resolution,duration,quality_score,brand_fit_score,usage_priority,recommended_section,usage_role,issues,ai_edit_needed,notes,status,review_status,creative_grade,review_summary,reviewed_at,commercial_clearance,clearance_basis
AST-0011,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글) KOREA TOUR_DAY & NIGHT.ai,한글) KOREA TOUR_DAY & NIGHT.ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,HIGH,HIGH,B,KOREA TOUR INTRO,SUPPORT,실제 파일 프리뷰 확인 완료.,NO,로고·도시코드 아이덴티티. DAY/NIGHT 또는 Korea Tour 시스템의 보조 변형.,B,REVIEWED,B,로고·도시코드 아이덴티티. DAY/NIGHT 또는 Korea Tour 시스템의 보조 변형.,2026-08-09,,UNKNOWN
AST-0012,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글) KOREA TOUR_DAY&NIGHT(심플).ai,한글) KOREA TOUR_DAY&NIGHT(심플).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,MEDIUM,MEDIUM,C,KOREA TOUR INTRO,SUPPORT,실제 파일 프리뷰 확인 완료.,NO,로고·도시코드 아이덴티티. 근접한 상위 변형이 있어 주요 상세페이지 우선순위가 낮음.,C,REVIEWED,C,로고·도시코드 아이덴티티. 근접한 상위 변형이 있어 주요 상세페이지 우선순위가 낮음.,2026-08-09,,UNKNOWN
AST-0013,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글) KOREA TOUR_DAY&NIGHT(심플_수정).ai,한글) KOREA TOUR_DAY&NIGHT(심플_수정).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,MEDIUM,MEDIUM,C,KOREA TOUR INTRO,SUPPORT,실제 파일 프리뷰 확인 완료.,NO,로고·도시코드 아이덴티티. 근접한 상위 변형이 있어 주요 상세페이지 우선순위가 낮음.,C,REVIEWED,C,로고·도시코드 아이덴티티. 근접한 상위 변형이 있어 주요 상세페이지 우선순위가 낮음.,2026-08-09,,UNKNOWN
AST-0014,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글) KOREA TOUR_DAY&NIGHT(심플_지역번호).ai,한글) KOREA TOUR_DAY&NIGHT(심플_지역번호).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,HIGH,HIGH,B,KOREA TOUR INTRO,SUPPORT,실제 파일 프리뷰 확인 완료.,NO,로고·도시코드 아이덴티티. DAY/NIGHT 또는 Korea Tour 시스템의 보조 변형.,B,REVIEWED,B,로고·도시코드 아이덴티티. DAY/NIGHT 또는 Korea Tour 시스템의 보조 변형.,2026-08-09,,UNKNOWN
AST-0015,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글) KOREA TOUR_DAY&NIGT (심플_지역번호_세로).ai,한글) KOREA TOUR_DAY&NIGT (심플_지역번호_세로).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,LOW,LOW,D,DO NOT USE,EXCLUDE,실제 파일 프리뷰 확인 완료.,NO,로고·도시코드 아이덴티티. 세로형 로고에 NIGT 철자 오류가 확인됨.,D,REVIEWED,D,로고·도시코드 아이덴티티. 세로형 로고에 NIGT 철자 오류가 확인됨.,2026-08-09,,UNKNOWN
AST-0016,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글) KOREA TOUR_DAY(건곤감리).ai,한글) KOREA TOUR_DAY(건곤감리).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,HIGH,HIGH,A,HERO / SECTION BREAK,HERO / NARRATIVE,실제 파일 프리뷰 확인 완료.,YES - 소형 사용성 점검,로고·도시코드 아이덴티티. 굵은 한글 표식과 도시코드가 결합된 DAY/NIGHT 핵심 변형.,A,REVIEWED,A,로고·도시코드 아이덴티티. 굵은 한글 표식과 도시코드가 결합된 DAY/NIGHT 핵심 변형.,2026-08-09,,UNKNOWN
AST-0017,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글) KOREA TOUR_DAY(심플).ai,한글) KOREA TOUR_DAY(심플).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,MEDIUM,MEDIUM,C,KOREA TOUR INTRO,SUPPORT,실제 파일 프리뷰 확인 완료.,NO,로고·도시코드 아이덴티티. 근접한 상위 변형이 있어 주요 상세페이지 우선순위가 낮음.,C,REVIEWED,C,로고·도시코드 아이덴티티. 근접한 상위 변형이 있어 주요 상세페이지 우선순위가 낮음.,2026-08-09,,UNKNOWN
AST-0018,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글) KOREA TOUR_DAY(심플_수정).ai,한글) KOREA TOUR_DAY(심플_수정).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,MEDIUM,MEDIUM,C,KOREA TOUR INTRO,SUPPORT,실제 파일 프리뷰 확인 완료.,NO,로고·도시코드 아이덴티티. 근접한 상위 변형이 있어 주요 상세페이지 우선순위가 낮음.,C,REVIEWED,C,로고·도시코드 아이덴티티. 근접한 상위 변형이 있어 주요 상세페이지 우선순위가 낮음.,2026-08-09,,UNKNOWN
AST-0019,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글) KOREA TOUR_DAY(심플_지역번호).ai,한글) KOREA TOUR_DAY(심플_지역번호).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,HIGH,HIGH,B,KOREA TOUR INTRO,SUPPORT,실제 파일 프리뷰 확인 완료.,NO,로고·도시코드 아이덴티티. DAY/NIGHT 또는 Korea Tour 시스템의 보조 변형.,B,REVIEWED,B,로고·도시코드 아이덴티티. DAY/NIGHT 또는 Korea Tour 시스템의 보조 변형.,2026-08-09,,UNKNOWN
AST-0020,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글) KOREA TOUR_DAY(심플_지역번호_세로).ai,한글) KOREA TOUR_DAY(심플_지역번호_세로).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,HIGH,HIGH,B,KOREA TOUR INTRO,SUPPORT,실제 파일 프리뷰 확인 완료.,NO,로고·도시코드 아이덴티티. DAY/NIGHT 또는 Korea Tour 시스템의 보조 변형.,B,REVIEWED,B,로고·도시코드 아이덴티티. DAY/NIGHT 또는 Korea Tour 시스템의 보조 변형.,2026-08-09,,UNKNOWN
AST-0021,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글) KOREA TOUR_DAY(심플_지역번호_세로_화이트).ai,한글) KOREA TOUR_DAY(심플_지역번호_세로_화이트).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,HIGH,HIGH,A,HERO / SECTION BREAK,HERO / NARRATIVE,실제 파일 프리뷰 확인 완료.,YES - 소형 사용성 점검,로고·도시코드 아이덴티티. 굵은 한글 표식과 도시코드가 결합된 DAY/NIGHT 핵심 변형.,A,REVIEWED,A,로고·도시코드 아이덴티티. 굵은 한글 표식과 도시코드가 결합된 DAY/NIGHT 핵심 변형.,2026-08-09,,UNKNOWN
AST-0022,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글) KOREA TOUR_DAY.ai,한글) KOREA TOUR_DAY.ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,MEDIUM,MEDIUM,C,KOREA TOUR INTRO,SUPPORT,실제 파일 프리뷰 확인 완료.,NO,로고·도시코드 아이덴티티. 근접한 상위 변형이 있어 주요 상세페이지 우선순위가 낮음.,C,REVIEWED,C,로고·도시코드 아이덴티티. 근접한 상위 변형이 있어 주요 상세페이지 우선순위가 낮음.,2026-08-09,,UNKNOWN
AST-0023,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글) KOREA TOUR_NIGHT(건곤감리).ai,한글) KOREA TOUR_NIGHT(건곤감리).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,HIGH,HIGH,B,KOREA TOUR INTRO,SUPPORT,실제 파일 프리뷰 확인 완료.,NO,로고·도시코드 아이덴티티. DAY/NIGHT 또는 Korea Tour 시스템의 보조 변형.,B,REVIEWED,B,로고·도시코드 아이덴티티. DAY/NIGHT 또는 Korea Tour 시스템의 보조 변형.,2026-08-09,,UNKNOWN
AST-0024,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글) KOREA TOUR_NIGHT(심플).ai,한글) KOREA TOUR_NIGHT(심플).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,MEDIUM,MEDIUM,C,KOREA TOUR INTRO,SUPPORT,실제 파일 프리뷰 확인 완료.,NO,로고·도시코드 아이덴티티. 근접한 상위 변형이 있어 주요 상세페이지 우선순위가 낮음.,C,REVIEWED,C,로고·도시코드 아이덴티티. 근접한 상위 변형이 있어 주요 상세페이지 우선순위가 낮음.,2026-08-09,,UNKNOWN
AST-0025,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글) KOREA TOUR_NIGHT(심플_지역번호).ai,한글) KOREA TOUR_NIGHT(심플_지역번호).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,HIGH,HIGH,B,KOREA TOUR INTRO,SUPPORT,실제 파일 프리뷰 확인 완료.,NO,로고·도시코드 아이덴티티. DAY/NIGHT 또는 Korea Tour 시스템의 보조 변형.,B,REVIEWED,B,로고·도시코드 아이덴티티. DAY/NIGHT 또는 Korea Tour 시스템의 보조 변형.,2026-08-09,,UNKNOWN
AST-0026,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글) KOREA TOUR_NIGHT(심플_지역번호_세로).ai,한글) KOREA TOUR_NIGHT(심플_지역번호_세로).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,HIGH,HIGH,A,HERO / SECTION BREAK,HERO / NARRATIVE,실제 파일 프리뷰 확인 완료.,YES - 소형 사용성 점검,로고·도시코드 아이덴티티. 굵은 한글 표식과 도시코드가 결합된 DAY/NIGHT 핵심 변형.,A,REVIEWED,A,로고·도시코드 아이덴티티. 굵은 한글 표식과 도시코드가 결합된 DAY/NIGHT 핵심 변형.,2026-08-09,,UNKNOWN
AST-0027,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글) KOREA TOUR_NIGHT(심플_지역번호_세로_블랙).ai,한글) KOREA TOUR_NIGHT(심플_지역번호_세로_블랙).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,HIGH,HIGH,B,KOREA TOUR INTRO,SUPPORT,실제 파일 프리뷰 확인 완료.,NO,로고·도시코드 아이덴티티. DAY/NIGHT 또는 Korea Tour 시스템의 보조 변형.,B,REVIEWED,B,로고·도시코드 아이덴티티. DAY/NIGHT 또는 Korea Tour 시스템의 보조 변형.,2026-08-09,,UNKNOWN
AST-0028,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글) KOREA TOUR_NIGHT(심플_지역번호_세로_화이트).ai,한글) KOREA TOUR_NIGHT(심플_지역번호_세로_화이트).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,HIGH,HIGH,A,HERO / SECTION BREAK,HERO / NARRATIVE,실제 파일 프리뷰 확인 완료.,YES - 소형 사용성 점검,로고·도시코드 아이덴티티. 굵은 한글 표식과 도시코드가 결합된 DAY/NIGHT 핵심 변형.,A,REVIEWED,A,로고·도시코드 아이덴티티. 굵은 한글 표식과 도시코드가 결합된 DAY/NIGHT 핵심 변형.,2026-08-09,,UNKNOWN
AST-0029,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글) KOREA TOUR_NIGHT.ai,한글) KOREA TOUR_NIGHT.ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,MEDIUM,MEDIUM,C,KOREA TOUR INTRO,SUPPORT,실제 파일 프리뷰 확인 완료.,NO,로고·도시코드 아이덴티티. 근접한 상위 변형이 있어 주요 상세페이지 우선순위가 낮음.,C,REVIEWED,C,로고·도시코드 아이덴티티. 근접한 상위 변형이 있어 주요 상세페이지 우선순위가 낮음.,2026-08-09,,UNKNOWN
AST-0030,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글)-KOREA-TOUR_DAY&NIGHT(심플).png,한글)-KOREA-TOUR_DAY&NIGHT(심플).png,png,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,DERIVED / EXCLUDED,N/A,EXCLUDE,ARCHIVE ONLY,EXCLUDE,"원본 보존, 상세페이지 사용 제외.",NO,로고·도시코드 아이덴티티. 동일 디자인의 PNG·PSD 산출물 또는 근접 파생본. 편집 원본과 연결해 원본만 우선 사용.,EXCLUDE,REVIEWED,EXCLUDE,로고·도시코드 아이덴티티. 동일 디자인의 PNG·PSD 산출물 또는 근접 파생본. 편집 원본과 연결해 원본만 우선 사용.,2026-08-09,,UNKNOWN
AST-0031,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글)-KOREA-TOUR_DAY&NIGHT(심플_지역번호).png,한글)-KOREA-TOUR_DAY&NIGHT(심플_지역번호).png,png,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,DERIVED / EXCLUDED,N/A,EXCLUDE,ARCHIVE ONLY,EXCLUDE,"원본 보존, 상세페이지 사용 제외.",NO,로고·도시코드 아이덴티티. 동일 디자인의 PNG·PSD 산출물 또는 근접 파생본. 편집 원본과 연결해 원본만 우선 사용.,EXCLUDE,REVIEWED,EXCLUDE,로고·도시코드 아이덴티티. 동일 디자인의 PNG·PSD 산출물 또는 근접 파생본. 편집 원본과 연결해 원본만 우선 사용.,2026-08-09,,UNKNOWN
AST-0032,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/한글)-KOREA-TOUR_DAY&NIGT-(심플_지역번호_세로).png,한글)-KOREA-TOUR_DAY&NIGT-(심플_지역번호_세로).png,png,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,DERIVED / EXCLUDED,N/A,EXCLUDE,ARCHIVE ONLY,EXCLUDE,"원본 보존, 상세페이지 사용 제외.",NO,로고·도시코드 아이덴티티. 동일 디자인의 PNG·PSD 산출물 또는 근접 파생본. 편집 원본과 연결해 원본만 우선 사용.,EXCLUDE,REVIEWED,EXCLUDE,로고·도시코드 아이덴티티. 동일 디자인의 PNG·PSD 산출물 또는 근접 파생본. 편집 원본과 연결해 원본만 우선 사용.,2026-08-09,,UNKNOWN
